,n1,n2,n3,n4,block_type,nf,time
279,12,21,13,13,1,50,0.5671609242757162
280,11,14,23,4,0,21,0.12118053436279297
281,7,17,64,11,1,176,7.172213713328044
282,3,19,103,5,1,123,4.66115156809489
283,10,21,10,1,1,123,1.6977320512135823
284,1,13,52,7,1,136,3.256486177444458
285,10,31,25,8,1,78,1.4592409133911133
286,7,17,23,2,0,10,0.056514581044514976
287,11,9,85,6,1,99,2.838059345881144
288,11,17,142,5,1,41,1.0270047187805176
289,6,19,73,13,1,68,1.4966031710306804
290,4,5,76,9,1,27,0.3111591339111328
291,8,31,139,2,1,123,6.643087863922119
292,12,1,22,1,1,123,1.4915900230407715
293,6,19,130,4,1,111,4.876522143681844
294,7,1,94,8,1,6,0.0985562801361084
295,9,23,10,6,1,27,0.1990328629811605
296,2,4,19,2,0,3,0.014403184254964193
297,8,9,22,2,1,6,0.041746934254964195
298,1,3,94,13,1,41,0.6355944474538168
299,1,15,52,3,1,3,0.03988194465637207
300,3,1,106,1,1,50,0.8462073008219401
301,3,23,136,1,1,111,5.717376629511516
302,1,17,10,3,1,149,1.7651057243347168
303,3,19,28,4,1,176,4.064928690592448
304,8,7,3,2,0,111,0.6119752724965414
305,10,31,37,7,1,149,4.545840422312419
306,3,17,9,9,0,21,0.09870823224385579
307,11,7,97,2,1,15,0.2040253480275472
308,2,13,5,3,0,99,0.5806612968444824
309,4,6,9,11,0,149,1.7651023070017497
310,13,31,115,9,1,78,2.751780112584432
311,1,13,11,5,0,41,0.18673396110534668
312,5,31,142,2,1,123,6.7035947640736895
313,5,15,15,8,0,176,3.1288534005482993
314,11,13,1,9,1,136,1.8084321816762288
315,7,7,112,4,1,41,0.7639660040537516
316,7,23,22,3,1,1,0.024150609970092773
317,7,15,106,8,1,50,1.0550452868143718
318,2,29,127,5,1,3,0.0767227013905843
319,10,25,1,11,1,191,4.609434127807617
320,9,17,70,5,1,1,0.04778305689493815
321,5,3,15,9,0,34,0.1512012481689453
322,6,29,52,5,1,15,0.16620484987894693
323,13,2,17,10,0,99,1.176318645477295
324,1,3,23,1,0,3,0.014436086018880209
325,7,7,34,7,1,2,0.02973326047261556
326,2,1,58,12,1,6,0.054389397303263344
327,6,23,91,8,1,68,1.6660714149475098
328,13,13,17,7,0,88,0.9864966074625651
329,6,29,37,1,1,191,5.7583669026692705
330,6,17,46,3,1,58,0.7625388304392496
331,4,3,31,6,1,50,0.38836010297139484
332,1,27,13,7,1,68,0.693304697672526
333,7,4,15,12,0,41,0.23770952224731445
334,3,3,31,8,1,99,1.2297176520029705
335,13,9,97,2,1,21,0.3175822893778483
336,6,9,31,8,1,99,1.4947689374287922
337,7,17,115,5,1,99,3.7539573510487876
338,10,14,25,13,0,50,0.5001232624053955
339,5,7,91,5,1,50,0.8526651859283447
340,3,9,19,11,0,111,1.3569043477376301
341,4,11,142,3,1,111,4.69105593363444
342,9,29,28,11,1,176,5.597393115361531
343,10,23,10,6,1,149,2.749382654825846
344,1,17,130,8,1,176,11.063574632008871
345,8,1,94,4,1,3,0.05049316088358561
346,3,17,133,4,1,176,12.224183797836304
347,10,15,21,1,0,34,0.257840633392334
348,12,9,85,4,1,2,0.04732942581176758
349,11,23,115,10,1,111,4.93753981590271
350,7,23,10,10,1,50,0.48301323254903156
351,11,31,55,6,1,99,2.649217208226522
352,4,19,76,7,1,27,0.34693320592244464
353,10,9,15,3,0,27,0.11719894409179688
354,5,13,115,13,1,136,6.826245546340942
355,7,7,103,3,1,10,0.16580994923909506
356,2,11,118,9,1,68,1.7751681804656982
357,1,6,19,2,0,3,0.01997264226277669
